promptID,pairID,source,target,MTQE_annotator0,MTQE_annotator1,MTQE_annotator2,MTQE_annotator3,MTQE_annotator4,MTQE_annotator5,MTQE_annotator6,MTQE_scores,MTQE_z_scores,MTQE_mean,MTQE_z_mean
6911,20729,no i don 't i 'm uh renting a townhouse right now but i 'm moving uh the end of May i 'm going to move into renting a house,"Ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne.",0,0,0,,,,,"[0.0, 0.0, 0.0]","[-2.1571313313292686, -1.7388523388163468, -1.4722928274944005]",0.0,-1.7894254992133387
39617,118847,Need a facial ?,Treba li vam fašizam?,20,3,15,,,,,"[20.0, 3.0, 15.0]","[-1.5099563373058167, -1.6552971869891888, -1.0455742663703134]",12.666666666666664,-1.4036092635551063
57475,172421,It 's a weighted average .,To je težak prosjek.,75,8,15,60.0,12.0,,,"[8.0, 15.0, 12.0]","[-1.5160386006105921, -1.0455742663703134, -1.0997176919310538]",11.666666666666664,-1.2204435196373198
34923,104765,yeah yeah you miss yeah i don 't know if you miss it or not but,"Da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da",0,0,0,,,,,"[0.0, 0.0, 0.0]","[-2.1571313313292686, -1.7388523388163468, -1.4722928274944005]",0.0,-1.7894254992133387
37291,111869,The surrounding landscaped grounds are kept in pristine condition .,Okružni krajolik je održan u nepristinom stanju.,68,9,30,29.0,,,,"[9.0, 30.0, 29.0]","[-1.4881868833348728, -0.6188557052462261, -1.5045837377152473]",22.66666666666667,-1.2038754420987818
110106,330306,and um the Mets,i za metove,0,8,0,,,,,"[0.0, 8.0, 0.0]","[-2.1571313313292686, -1.5160386006105921, -1.4722928274944005]",2.6666666666666665,-1.7151542531447541
49859,149573,yeah i don 't not anymore i don 't there 's just nothing on it,"Da, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne",0,0,0,,,,,"[0.0, 0.0, 0.0]","[-2.1571313313292686, -1.7388523388163468, -1.4722928274944005]",0.0,-1.7894254992133387
22777,68327,Slavery Declines,Slabost pada,5,3,10,,,,,"[5.0, 3.0, 10.0]","[-1.9953375828234055, -1.6552971869891888, -1.1878137867450091]",6.0,-1.6128161855192011
107444,322322,Now .,‘Sada,100,100,90,,,,,"[100.0, 100.0, 90.0]","[1.078743638787991, 1.046319388755586, 1.0880185392501227]",96.66666666666669,1.0710271889312333
31494,94478,So this was Tubacca !,A to je bio Cigaret!,20,50,20,,,,,"[20.0, 50.0, 20.0]","[-1.5099563373058167, -0.34626647503038044, -0.9033347459956176]",30.0,-0.9198525194439382
71399,214192,Weather obsessives shop on the Web .,Vrijeme opsesivna trgovina na internetu.,60,35,15,15.0,,,,"[35.0, 15.0, 15.0]","[-0.7640422341661703, -1.0455742663703134, -2.076560002809105]",21.66666666666667,-1.2953921677818632
36961,110879,"Little figures , tiny as ants , crawled around gigantic drills .","Male figure, male poput mrava, kruže oko ogromnih vrtova.",55,25,40,,,,,"[55.0, 25.0, 40.0]","[-0.37740009776477584, -1.0425594069233637, -0.3343766644968347]",40.0,-0.584778723061658
93638,280906,Good heavens ! I exclaimed .,Dobar dan! – uzviknuo je on.,35,22,10,,,,,"[35.0, 22.0, 10.0]","[-1.0245750917882277, -1.1261145587505217, -1.1878137867450091]",22.33333333333333,-1.1128344790945863
55045,165131,she no she lost the baby,Ona nije izgubila bebu,28,32,10,,,,,"[28.0, 32.0, 10.0]","[-1.2510863396964358, -0.8475973859933283, -1.1878137867450091]",23.33333333333333,-1.095499170811591
94471,283405,i tell you what the fumes that the the paint gives off makes you wonder what these people do anyway,Ja vam kažem što dimovi koje daje boja čini da se pitate što ti ljudi rade u svakom slučaju,54,78,60,,,,,"[54.0, 78.0, 60.0]","[-0.40975884746594843, 0.4335816086897607, 0.23458141700194826]",64.0,0.08613472607525352
47097,141287,"Tartan fabric is synonymous with Scotland , with many items and patterns to choose from .","Tartan tkanina je sinonim za Škotsku, s mnogo predmeta i uzoraka za odabir.",92,88,95,,,,,"[92.0, 88.0, 95.0]","[0.8198736411786102, 0.7120987814469539, 1.2302580596248185]",91.66666666666669,0.9207434940834608
72934,218797,Stewardship information will be necessary for a fair presentation of financial position and results of operations .,Informacije o upravljanju bit će potrebne za pošteno predstavljanje financijskog položaja i rezultata poslovanja.,90,86,100,,,,,"[90.0, 86.0, 100.0]","[0.7551561417762649, 0.6563953468955153, 1.372497579999514]",92.0,0.9280163562237648
129401,388183,She 's a marvel .,Ona je čudo.,100,83,100,,,,,"[100.0, 83.0, 100.0]","[1.078743638787991, 0.5728401950683574, 1.372497579999514]",94.33333333333331,1.008027137951954
29531,88589,"It is still as popular as ever and the sand is sublime , but the cave after which the beach was originally named was destroyed in the early 1930s during a hurricane .","Još uvijek je popularna kao ikad i pijesak je uzvišen, ali špilja po kojoj je plaža izvorno nazvana uništena je početkom 1930-ih tijekom uragana.",73,76,90,,,,,"[73.0, 76.0, 90.0]","[0.20505739685633084, 0.37787817413832203, 1.0880185392501227]",79.66666666666667,0.5569847034149252
115230,345678,you know what i 'm saying,Znate što govorim,95,94,95,,,,,"[95.0, 94.0, 95.0]","[0.9169498902821279, 0.8792090851012699, 1.2302580596248185]",94.66666666666669,1.0088056783360722
71839,215512,1 ) Snob We all know recliners are tacky .,1 ) Snob Svi znamo da su recliners tacky.,45,2,15,40.0,10.0,,,"[2.0, 15.0, 10.0]","[-1.6831489042649082, -1.0455742663703134, -1.1651496049678107]",9.0,-1.2979575918676776
94019,282049,It had . ',Imao je.”,30,55,20,99.0,100.0,48.0,,"[30.0, 20.0, 48.0]","[-1.1863688402940906, -0.9033347459956176, 0.7563299490506689]",32.666666666666664,-0.4444578790796799
84531,253587,The AMIGA modeling system reports the costs and benefits of each scenario with several major exceptions .,AMIGA sustav modeliranja izvješćuje o troškovima i koristima svakog scenarija uz nekoliko glavnih iznimaka.,85,90,85,,,,,"[85.0, 90.0, 85.0]","[0.593362393270402, 0.7678022159983926, 0.9457790188754269]",86.66666666666669,0.7689812093814071
78856,236562,and the life sentence uh she received,i životnu kaznu uh je primila,90,90,75,,,,,"[90.0, 90.0, 75.0]","[0.7551561417762649, 0.7678022159983926, 0.6612999781260355]",85.0,0.7280861119668977
100972,302908,that 's right Kitty Cat they 'll be playing and Kitty Cat will jump on her and Sheba will just turn around and throw her to the floor get on top of her and you can 't do that this week she 'll have stitches leave her alone,to je pravo Kitty Mačka oni će se igrati i Kitty Mačka će skočiti na nju i Sheba će samo okrenuti i baciti je na pod dobiti na njoj i ne možete učiniti da ovaj tjedan ona će imati štapiće ostaviti je sama,45,89,30,20.0,,,,"[45.0, 30.0, 20.0]","[-0.7009875947765017, -0.6188557052462261, -1.8722827652755845]",31.66666666666667,-1.0640420217661042
58435,175301,Why Norplant ?,Zašto Norveška?,6,4,10,,,,,"[6.0, 4.0, 10.0]","[-1.9629788331222329, -1.6274454697134695, -1.1878137867450091]",6.666666666666668,-1.5927460298602372
568,1702,no i 've uh you you can rent people 's kiln they they uh you take your pieces to their house or their ceramic shop and uh pay them there 's one woman that charge ten dollars a month for fire all that i wanted,"Ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne, ne.",0,0,0,,,,,"[0.0, 0.0, 0.0]","[-2.1571313313292686, -1.7388523388163468, -1.4722928274944005]",0.0,-1.7894254992133387
85432,256290,The Sticks pay attention to everyone .,Sljedeći članakSljedeći ČlanakSljedeći ČlanakSljedeći ČlanakSljedeći ČlanakSljedeći ČlanakSljedeći ČlanakSljedeći ČlanakSljedeći Članak,0,0,0,,,,,"[0.0, 0.0, 0.0]","[-2.1571313313292686, -1.7388523388163468, -1.4722928274944005]",0.0,-1.7894254992133387
118379,355125,yes so yeah um i 'm i 'm like you i i use my only use my credit card for um you know when i you know i just use it whenever i feel like i don 't want to write a check and then but i don 't charge anything that i can 't payoff at the end of the month,"Da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da, da,",0,0,0,,,,,"[0.0, 0.0, 0.0]","[-2.1571313313292686, -1.7388523388163468, -1.4722928274944005]",0.0,-1.7894254992133387
72255,216760,uh-huh she just recently started working then,Hahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahah,0,0,0,,,,,"[0.0, 0.0, 0.0]","[-2.1571313313292686, -1.7388523388163468, -1.4722928274944005]",0.0,-1.7894254992133387
108956,326856,bed throws uh-huh uh-huh,Sljedeći Članak Posteljina uh-huh uh-huh,75,0,0,50.0,1.0,,,"[0.0, 0.0, 1.0]","[-1.7388523388163468, -1.4722928274944005, -1.459593213633217]",0.3333333333333333,-1.5569127933146547
123951,371835,"The more expensive sombra seats will land you in the shade , so sol y sombra means that you 'll get some of each , though the sun won 't be in your eyes .",Sve skuplje sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće sjedeće.,0,0,0,,,,,"[0.0, 0.0, 0.0]","[-2.1571313313292686, -1.7388523388163468, -1.4722928274944005]",0.0,-1.7894254992133387
66099,198292,oh yeah uh-huh i sure did,Hahahahahahahahahahahahahahahahahahahahahahahahahahahah,0,0,0,,,,,"[0.0, 0.0, 0.0]","[-2.1571313313292686, -1.7388523388163468, -1.4722928274944005]",0.0,-1.7894254992133387
29322,87962,I blinked .,Obilježila sam.,0,0,0,,,,,"[0.0, 0.0, 0.0]","[-2.1571313313292686, -1.7388523388163468, -1.4722928274944005]",0.0,-1.7894254992133387
48542,145622,The incomprehension was mutual .,Nesporazum je bio obostran.,94,95,100,,,,,"[94.0, 95.0, 100.0]","[0.8845911405809553, 0.9070608023769893, 1.372497579999514]",96.33333333333331,1.0547165076524865
75769,227302,Taxation With Representation of Wash .,Porez s predstavljanjem pranja.,25,68,40,45.0,,,,"[25.0, 40.0, 45.0]","[-1.3481625887999538, -0.3343766644968347, -0.8508965776079814]",36.66666666666666,-0.8444786103015899
71943,215824,and that was uh a that particular campout,I to je bio taj poseban kamp,85,79,90,,,,,"[85.0, 79.0, 90.0]","[0.593362393270402, 0.46143332596548003, 1.0880185392501227]",84.66666666666667,0.7142714194953349
73729,221182,no it 's it 's wood turning,"Ne, to je drvo koje se okreće",40,34,20,,,,,"[40.0, 34.0, 20.0]","[-0.8627813432823648, -0.7918939514418897, -0.9033347459956176]",31.33333333333333,-0.8526700135732908
